Soil_Type,Soil_pH,Soil_Moisture,Organic_Carbon,Electrical_Conductivity,Nitrogen_Level,Phosphorus_Level,Potassium_Level,Temperature,Humidity,Rainfall,Crop_Type,Crop_Growth_Stage,Season,Irrigation_Type,Previous_Crop,Region,Fertilizer_Used_Last_Season,Yield_Last_Season,Recommended_Fertilizer
Silt,4.86,58.81,0.52,1.91,43,44,18,34.54,59.0,2025.7,Sugarcane,Harvest,Zaid,Canal,Tomato,West,50.31,7.01,Urea
Loamy,7.22,21.99,1.16,0.34,102,61,48,13.27,36.56,947.1,Wheat,Flowering,Rabi,Rainfed,Cotton,South,269.23,4.77,Urea
Silt,7.4,53.12,0.94,2.25,93,32,39,35.03,35.3,765.78,Cotton,Harvest,Zaid,Canal,Cotton,Central,239.97,6.8,DAP
Sandy,8.36,41.09,1.19,2.15,115,29,66,28.78,30.41,1307.97,Potato,Sowing,Kharif,Drip,Potato,West,285.49,1.05,DAP
Loamy,5.54,50.86,0.29,2.65,106,36,32,25.32,63.1,1764.95,Cotton,Vegetative,Kharif,Sprinkler,Tomato,West,148.92,6.32,DAP
Sandy,4.57,42.58,0.83,1.33,116,50,39,26.8,78.39,293.97,Wheat,Flowering,Kharif,Canal,Cotton,Central,291.84,5.22,MOP
Silt,6.68,31.2,0.62,0.28,113,87,73,32.33,81.39,457.88,Rice,Vegetative,Zaid,Canal,Tomato,West,249.04,6.19,NPK
Sandy,7.33,21.4,1.3,1.44,113,45,25,18.93,64.15,1966.16,Maize,Flowering,Zaid,Rainfed,Maize,South,85.78,6.04,MOP
Silt,7.66,13.5,1.12,0.5,90,13,45,38.3,83.23,758.07,Tomato,Vegetative,Zaid,Sprinkler,Rice,West,107.91,2.0,DAP
Sandy,5.27,36.78,1.33,1.98,72,35,39,19.23,81.72,1469.4,Maize,Sowing,Kharif,Canal,Maize,South,251.08,6.72,DAP
Silt,5.55,59.52,0.26,0.24,133,49,55,36.31,71.89,2822.24,Potato,Harvest,Rabi,Drip,Wheat,South,164.75,1.16,MOP
Clay,6.55,46.9,1.14,1.18,148,89,110,10.36,51.78,2615.29,Sugarcane,Sowing,Rabi,Sprinkler,Wheat,North,240.25,4.19,Compost
Sandy,5.82,26.37,0.9,0.34,113,83,89,37.49,79.63,378.37,Rice,Flowering,Rabi,Canal,Sugarcane,West,164.36,2.79,SSP
Sandy,7.94,51.36,1.27,0.11,117,75,101,35.55,53.5,364.38,Sugarcane,Harvest,Rabi,Rainfed,Potato,Central,206.13,5.1,Zinc Sulphate
Clay,6.4,48.45,0.86,2.89,137,82,29,13.73,54.2,606.7,Wheat,Flowering,Zaid,Rainfed,Cotton,East,134.52,6.19,MOP
Clay,7.7,24.08,0.9,2.99,53,12,87,32.11,70.68,525.93,Tomato,Vegetative,Rabi,Rainfed,Wheat,North,168.4,7.41,Urea
Sandy,6.82,10.72,0.27,1.71,80,73,118,21.22,85.68,910.68,Potato,Sowing,Kharif,Sprinkler,Maize,South,261.83,1.58,SSP
Clay,7.59,15.91,1.07,0.79,121,38,65,24.39,60.0,1241.79,Sugarcane,Sowing,Zaid,Canal,Potato,North,174.72,5.07,DAP
Loamy,5.83,53.87,0.56,2.74,80,63,102,12.06,40.63,432.24,Cotton,Vegetative,Kharif,Sprinkler,Potato,North,222.02,3.49,NPK
Silt,7.83,51.83,0.23,2.78,27,16,119,16.38,38.55,1489.46,Sugarcane,Harvest,Zaid,Drip,Maize,East,101.41,2.78,Urea
Silt,5.6,24.76,0.29,2.58,73,34,46,38.61,48.13,1683.51,Maize,Vegetative,Kharif,Canal,Sugarcane,Central,222.07,1.57,DAP
Silt,6.68,24.26,1.44,1.68,65,33,92,22.54,57.46,2052.47,Cotton,Flowering,Kharif,Sprinkler,Sugarcane,East,76.07,2.6,DAP
Loamy,5.36,49.64,0.65,0.32,137,52,90,10.78,47.86,1337.75,Maize,Vegetative,Kharif,Sprinkler,Tomato,South,202.81,4.23,Compost
Clay,6.4,56.89,1.33,0.36,112,15,71,25.45,72.72,1028.51,Wheat,Harvest,Zaid,Rainfed,Tomato,Central,185.84,1.04,DAP
Clay,5.77,48.96,1.45,2.7,50,24,74,39.84,62.56,2000.9,Sugarcane,Flowering,Rabi,Canal,Sugarcane,Central,154.81,5.1,Urea
Sandy,5.57,40.28,1.43,2.64,41,88,38,19.98,54.4,2751.35,Potato,Flowering,Rabi,Sprinkler,Sugarcane,North,256.75,1.73,Urea
Clay,8.37,22.13,1.35,1.36,76,49,102,14.24,42.8,1310.18,Sugarcane,Flowering,Rabi,Drip,Sugarcane,North,195.05,5.03,Zinc Sulphate
Sandy,5.14,36.29,1.36,1.05,123,70,97,29.31,66.32,1021.62,Sugarcane,Flowering,Rabi,Rainfed,Sugarcane,West,113.39,3.64,Compost
Loamy,7.65,21.68,0.58,1.97,36,30,92,37.59,70.45,2209.61,Rice,Harvest,Zaid,Canal,Sugarcane,Central,177.72,6.42,Urea
Silt,8.44,50.4,0.4,2.44,108,67,52,35.77,77.05,2656.37,Potato,Flowering,Zaid,Rainfed,Sugarcane,East,249.36,4.07,Zinc Sulphate
Silt,4.58,29.35,1.03,2.22,120,41,83,29.71,89.45,2887.44,Rice,Sowing,Zaid,Drip,Sugarcane,East,264.73,7.6,Compost
Silt,7.3,51.68,0.83,1.89,86,21,45,15.52,43.88,816.41,Cotton,Vegetative,Rabi,Canal,Sugarcane,North,127.4,3.28,DAP
Clay,5.51,29.08,0.33,0.77,75,18,26,33.53,30.91,1047.76,Maize,Vegetative,Zaid,Drip,Cotton,West,69.79,4.8,DAP
Sandy,4.66,51.21,1.08,0.86,43,29,63,34.7,60.03,2736.41,Tomato,Flowering,Zaid,Sprinkler,Potato,Central,113.48,6.12,Urea
Sandy,6.11,26.67,0.93,2.2,44,24,26,35.49,85.44,955.97,Wheat,Sowing,Zaid,Sprinkler,Tomato,North,272.56,2.53,Urea
Loamy,8.24,32.01,1.32,2.43,133,86,41,22.12,44.93,1167.67,Rice,Flowering,Kharif,Canal,Wheat,Central,215.95,1.12,Zinc Sulphate
Clay,4.55,40.77,0.99,0.44,29,17,25,22.27,75.35,1990.49,Tomato,Flowering,Zaid,Sprinkler,Sugarcane,North,290.59,6.5,Urea
Loamy,6.85,13.51,0.95,0.64,55,30,60,14.65,49.17,1790.78,Maize,Flowering,Rabi,Sprinkler,Tomato,West,60.33,3.05,Urea
Sandy,6.51,57.41,0.77,2.07,144,54,68,33.18,53.47,2657.98,Sugarcane,Harvest,Kharif,Rainfed,Maize,Central,137.77,2.12,MOP
Sandy,7.99,38.68,0.8,1.23,137,49,119,32.12,86.86,1913.18,Sugarcane,Harvest,Kharif,Rainfed,Maize,North,152.12,5.15,Zinc Sulphate
Silt,4.84,35.39,1.44,1.73,77,15,32,12.99,57.66,1568.86,Tomato,Vegetative,Kharif,Canal,Wheat,West,133.03,3.61,DAP
Clay,7.23,51.97,0.38,1.88,102,20,25,10.6,73.52,407.05,Tomato,Harvest,Zaid,Drip,Maize,South,113.46,2.86,DAP
Sandy,7.22,53.29,0.78,2.35,101,73,41,38.55,62.99,2930.07,Maize,Sowing,Zaid,Canal,Sugarcane,East,164.49,5.95,MOP
Silt,7.18,36.11,1.05,2.44,42,51,75,10.52,75.83,1382.48,Tomato,Sowing,Zaid,Drip,Tomato,West,219.46,7.77,Urea
Clay,8.27,56.36,0.76,0.91,155,68,113,28.86,49.04,1803.22,Sugarcane,Harvest,Rabi,Rainfed,Sugarcane,West,95.46,4.69,Zinc Sulphate
Loamy,7.79,13.24,0.57,1.67,69,17,79,23.61,82.61,1605.68,Potato,Sowing,Rabi,Sprinkler,Potato,Central,247.71,6.43,DAP
Clay,4.67,15.66,0.57,0.46,108,81,83,33.32,62.94,2266.3,Rice,Flowering,Rabi,Canal,Sugarcane,Central,103.69,6.89,Compost
Clay,6.38,39.84,0.5,2.54,62,64,107,12.63,48.55,2010.06,Wheat,Sowing,Kharif,Canal,Wheat,South,292.56,4.39,MOP
Sandy,6.09,27.7,0.65,2.55,115,48,71,30.47,32.29,1159.48,Rice,Sowing,Rabi,Rainfed,Wheat,East,245.29,4.54,MOP
Sandy,5.74,33.21,1.33,0.97,132,60,39,28.45,30.79,1656.12,Sugarcane,Sowing,Kharif,Drip,Cotton,East,131.08,6.03,MOP
Clay,6.31,26.4,0.86,0.57,133,64,45,35.61,51.2,2512.9,Wheat,Sowing,Zaid,Canal,Potato,West,196.27,7.48,NPK
Sandy,6.04,30.24,0.51,0.3,101,85,15,25.56,42.94,1973.68,Tomato,Vegetative,Zaid,Drip,Sugarcane,East,145.75,6.72,MOP
Sandy,6.23,51.13,0.7,1.77,115,12,54,31.85,33.16,2872.85,Tomato,Vegetative,Kharif,Rainfed,Potato,South,299.5,6.48,DAP
Sandy,8.42,39.67,0.34,0.37,65,52,42,23.13,63.17,2311.04,Sugarcane,Harvest,Zaid,Canal,Rice,North,169.42,6.43,Zinc Sulphate
Silt,4.85,59.87,1.38,2.07,123,54,14,39.52,89.33,1558.53,Wheat,Sowing,Zaid,Sprinkler,Tomato,North,219.82,4.29,MOP
Silt,8.19,49.34,0.73,2.07,34,89,65,26.78,55.34,2459.63,Cotton,Vegetative,Zaid,Canal,Maize,Central,209.21,7.02,Urea
Clay,6.42,23.68,1.47,1.88,68,25,37,32.61,63.13,1438.13,Tomato,Harvest,Zaid,Drip,Cotton,North,125.4,3.51,DAP
Sandy,6.99,23.22,0.65,2.64,94,14,16,12.79,43.19,796.93,Sugarcane,Flowering,Zaid,Canal,Sugarcane,South,146.12,5.25,DAP
Silt,7.82,26.79,1.29,1.2,25,49,119,23.88,42.29,1963.19,Cotton,Sowing,Rabi,Canal,Maize,West,175.74,1.96,Urea
Clay,5.94,52.16,0.53,2.72,74,85,68,11.93,49.7,1190.9,Rice,Harvest,Zaid,Canal,Rice,Central,112.03,5.55,Compost
Sandy,6.22,11.36,0.3,0.21,102,76,28,13.65,80.1,269.62,Rice,Harvest,Zaid,Rainfed,Tomato,South,99.67,6.25,MOP
Loamy,6.14,21.51,0.24,0.43,95,54,71,25.18,87.63,799.41,Tomato,Flowering,Kharif,Rainfed,Rice,North,291.56,3.88,Urea
Sandy,6.0,55.25,0.99,1.3,34,12,52,20.57,74.38,667.82,Rice,Flowering,Kharif,Drip,Sugarcane,South,120.77,4.59,Urea
Sandy,8.2,41.99,0.61,1.82,30,40,59,23.79,31.23,2425.62,Sugarcane,Harvest,Kharif,Rainfed,Sugarcane,Central,135.93,1.11,Urea
Silt,7.82,21.34,0.78,0.19,146,33,99,24.88,56.3,2234.8,Maize,Sowing,Zaid,Canal,Potato,West,255.29,7.33,DAP
Clay,4.94,20.96,1.26,1.75,139,38,62,14.79,55.24,1920.67,Cotton,Sowing,Rabi,Sprinkler,Potato,West,245.96,6.7,DAP
Clay,4.93,53.13,0.52,0.99,93,64,111,20.97,86.11,2816.13,Cotton,Vegetative,Kharif,Canal,Tomato,West,88.88,6.14,Compost
Silt,6.21,54.69,0.6,2.67,70,42,47,35.82,74.73,698.71,Cotton,Harvest,Kharif,Drip,Sugarcane,East,90.31,1.48,Compost
Sandy,4.89,22.81,1.3,1.65,107,60,112,35.7,72.86,656.95,Potato,Vegetative,Zaid,Drip,Maize,South,92.28,2.53,Compost
Loamy,6.98,31.03,0.84,1.8,119,89,26,24.72,63.89,2745.43,Sugarcane,Harvest,Rabi,Rainfed,Potato,South,191.84,7.92,MOP
Sandy,5.07,51.73,1.28,2.84,84,83,92,32.47,68.75,2011.29,Cotton,Harvest,Rabi,Drip,Maize,East,255.63,4.22,Compost
Sandy,6.59,48.55,0.69,2.32,36,39,36,32.61,71.92,1761.28,Cotton,Harvest,Zaid,Canal,Cotton,Central,234.07,7.14,Urea
Loamy,4.53,50.7,0.72,1.37,57,70,46,11.32,63.15,2271.7,Cotton,Sowing,Rabi,Drip,Potato,Central,146.57,5.75,Urea
Silt,5.77,35.92,0.42,1.48,137,69,16,28.33,80.69,988.68,Sugarcane,Sowing,Kharif,Rainfed,Wheat,North,195.58,6.67,MOP
Clay,7.21,55.58,1.39,1.98,143,44,47,34.14,32.21,1865.68,Sugarcane,Harvest,Rabi,Rainfed,Potato,Central,226.12,5.27,MOP
Silt,6.44,26.3,1.37,0.68,56,16,90,27.82,86.48,1395.32,Potato,Flowering,Kharif,Canal,Potato,Central,52.67,2.34,Urea
Silt,8.41,17.83,1.48,0.36,105,15,38,26.25,76.42,1059.52,Maize,Flowering,Rabi,Drip,Rice,West,255.79,4.6,DAP
Sandy,8.0,45.44,0.72,1.0,130,24,60,25.94,61.74,2653.67,Cotton,Harvest,Kharif,Sprinkler,Tomato,South,245.98,6.89,DAP
Clay,5.94,36.97,1.26,2.36,154,75,117,25.24,81.62,649.85,Potato,Vegetative,Kharif,Drip,Tomato,West,234.68,7.37,NPK
Clay,4.68,52.73,0.74,0.85,30,26,112,33.35,79.68,250.08,Maize,Sowing,Kharif,Rainfed,Tomato,South,291.08,5.95,Urea
Silt,7.88,14.06,0.79,0.48,97,28,117,29.27,55.16,1205.49,Cotton,Vegetative,Zaid,Sprinkler,Sugarcane,South,52.04,5.7,DAP
Loamy,8.14,52.18,1.28,0.74,132,23,90,16.47,80.39,755.53,Cotton,Vegetative,Zaid,Drip,Wheat,South,256.15,5.41,DAP
Silt,7.78,24.66,0.43,2.07,71,58,24,23.0,41.3,2470.88,Rice,Flowering,Rabi,Sprinkler,Tomato,North,167.12,4.97,MOP
Loamy,5.01,42.74,0.49,1.88,88,60,25,25.86,58.15,554.58,Potato,Flowering,Rabi,Drip,Rice,West,239.69,7.23,MOP
Clay,8.49,12.01,0.61,2.1,90,43,106,22.57,43.94,2824.97,Rice,Vegetative,Rabi,Drip,Potato,East,57.57,6.38,Zinc Sulphate
Silt,5.53,40.48,1.22,1.03,34,30,20,17.13,37.46,669.11,Maize,Vegetative,Kharif,Canal,Wheat,East,64.69,6.03,Urea
Sandy,7.4,45.86,0.68,2.71,101,57,42,13.74,83.68,2689.92,Sugarcane,Vegetative,Kharif,Drip,Wheat,North,81.49,3.87,NPK
Silt,8.13,28.44,0.67,1.41,20,76,105,13.52,52.02,671.46,Tomato,Flowering,Rabi,Rainfed,Tomato,West,96.25,4.23,Urea
Clay,5.44,20.77,1.5,1.59,158,67,118,18.89,71.06,334.23,Maize,Vegetative,Kharif,Drip,Potato,North,85.3,4.05,Compost
Sandy,8.13,36.88,0.7,2.85,29,87,101,22.08,52.51,1565.97,Rice,Flowering,Kharif,Sprinkler,Tomato,North,135.07,7.99,Urea
Sandy,5.74,51.66,0.52,2.94,137,30,29,30.49,62.65,1197.83,Wheat,Sowing,Kharif,Sprinkler,Wheat,West,127.2,7.45,DAP
Loamy,8.41,26.18,1.01,2.02,61,36,38,39.55,50.88,1873.94,Sugarcane,Sowing,Zaid,Canal,Potato,Central,104.03,1.74,DAP
Sandy,5.63,22.62,1.24,2.84,113,80,25,36.92,74.56,1994.02,Wheat,Vegetative,Rabi,Rainfed,Maize,East,88.27,4.3,MOP
Sandy,8.31,23.95,0.29,1.67,133,38,103,34.41,77.19,2816.26,Tomato,Vegetative,Rabi,Rainfed,Cotton,East,218.69,2.86,DAP
Silt,4.71,57.46,1.0,0.99,60,18,26,34.41,55.83,2867.61,Sugarcane,Flowering,Zaid,Canal,Maize,South,169.01,3.1,DAP
Clay,7.34,27.96,0.25,1.01,145,88,66,27.88,81.58,1585.93,Rice,Sowing,Rabi,Canal,Wheat,South,287.97,1.11,MOP
Loamy,6.63,10.18,0.88,1.72,143,53,87,17.58,51.32,784.27,Wheat,Harvest,Kharif,Drip,Tomato,East,256.05,1.93,Compost
Silt,6.41,49.08,0.53,1.85,31,37,97,24.16,75.75,892.35,Potato,Sowing,Kharif,Canal,Maize,West,238.0,5.12,Urea
Sandy,5.39,44.96,0.6,1.37,145,47,46,14.28,69.0,479.15,Tomato,Vegetative,Rabi,Canal,Tomato,North,71.43,5.61,Compost
Sandy,7.32,16.43,0.81,2.66,117,24,86,26.99,57.36,983.64,Wheat,Flowering,Rabi,Drip,Sugarcane,North,277.29,7.68,DAP
Loamy,5.26,59.25,1.41,1.34,125,24,27,10.69,83.34,2751.88,Potato,Flowering,Kharif,Rainfed,Sugarcane,North,293.29,6.78,DAP
Clay,6.71,40.4,1.12,0.89,133,39,80,15.68,64.34,1220.89,Cotton,Vegetative,Kharif,Drip,Sugarcane,West,68.15,2.76,DAP
Loamy,5.51,35.04,1.42,0.12,132,41,58,31.37,80.41,1962.66,Wheat,Flowering,Rabi,Canal,Sugarcane,West,259.54,4.73,Zinc Sulphate
Silt,8.32,29.11,1.06,2.91,77,49,20,18.31,74.0,2947.48,Cotton,Harvest,Rabi,Canal,Wheat,West,155.1,2.37,MOP
Loamy,4.61,54.93,0.21,2.49,133,85,66,22.6,61.95,498.86,Rice,Flowering,Kharif,Rainfed,Rice,West,129.62,4.26,Compost
Sandy,5.3,22.2,0.55,1.89,129,11,90,34.96,49.59,2371.06,Wheat,Harvest,Zaid,Rainfed,Tomato,West,219.39,6.37,DAP
Silt,5.47,24.29,1.38,2.51,30,31,28,11.34,87.07,2159.13,Cotton,Vegetative,Zaid,Drip,Cotton,West,128.94,6.32,Urea
Sandy,6.16,16.12,1.04,2.45,146,35,79,10.68,33.4,2493.31,Tomato,Vegetative,Kharif,Rainfed,Rice,South,77.6,6.4,DAP
Clay,5.43,47.96,1.48,2.8,102,49,91,16.87,83.67,584.07,Wheat,Harvest,Kharif,Rainfed,Cotton,West,224.52,2.45,Compost
Sandy,6.47,39.78,0.4,1.22,59,17,62,30.53,60.38,1604.99,Rice,Vegetative,Kharif,Canal,Rice,East,214.07,3.96,Urea
Sandy,7.99,40.45,0.59,1.71,133,45,19,17.08,74.92,1969.6,Wheat,Sowing,Zaid,Rainfed,Potato,South,247.1,5.93,MOP
Loamy,7.35,20.92,0.67,0.39,113,35,10,35.91,50.05,2328.23,Potato,Harvest,Zaid,Drip,Tomato,South,190.17,1.73,DAP
Sandy,6.82,42.56,0.62,2.9,118,16,10,20.56,53.05,2195.37,Wheat,Harvest,Zaid,Sprinkler,Sugarcane,South,249.55,3.34,DAP
Silt,4.86,48.27,0.53,2.96,87,10,56,18.51,41.45,1798.71,Potato,Vegetative,Zaid,Drip,Tomato,West,51.82,5.26,DAP
Silt,7.28,27.89,0.78,2.39,24,41,111,16.99,87.26,1513.67,Maize,Harvest,Rabi,Canal,Potato,North,242.22,4.6,Urea
Clay,5.17,50.07,1.03,1.42,154,87,36,27.22,32.6,2836.8,Tomato,Sowing,Zaid,Canal,Sugarcane,Central,159.45,1.51,MOP
Silt,7.65,27.44,0.6,1.54,144,18,34,35.69,53.21,708.99,Maize,Sowing,Kharif,Canal,Maize,West,193.02,6.01,DAP
Loamy,5.5,47.91,0.3,1.36,50,68,99,22.18,50.08,772.15,Potato,Harvest,Zaid,Canal,Tomato,Central,272.4,3.62,Urea
Clay,6.17,11.69,1.12,0.95,44,53,112,17.58,78.78,511.0,Cotton,Vegetative,Kharif,Canal,Maize,East,243.9,7.54,Urea
Silt,5.9,37.56,0.8,1.63,121,74,19,22.63,60.1,515.48,Wheat,Flowering,Kharif,Rainfed,Wheat,West,212.73,2.93,MOP
Loamy,7.94,58.48,0.92,0.25,100,30,45,37.14,40.15,2645.77,Wheat,Flowering,Zaid,Sprinkler,Cotton,West,86.74,7.86,DAP
Silt,5.01,59.06,0.79,2.98,98,29,55,20.04,60.54,1898.27,Tomato,Sowing,Kharif,Drip,Tomato,Central,113.03,7.14,DAP
Silt,6.76,24.09,1.36,1.33,138,58,17,29.67,44.16,2818.26,Wheat,Flowering,Kharif,Drip,Cotton,East,137.05,6.19,MOP
Sandy,5.07,32.07,0.93,2.79,126,42,106,19.89,31.03,2683.22,Wheat,Harvest,Zaid,Rainfed,Wheat,South,283.44,2.54,Compost
Silt,7.32,13.15,1.4,2.2,26,27,71,30.24,62.67,1041.44,Maize,Sowing,Rabi,Drip,Sugarcane,South,243.54,5.68,Urea
Silt,8.12,53.67,0.86,0.94,122,50,38,36.43,51.62,1995.69,Wheat,Vegetative,Zaid,Rainfed,Maize,East,175.14,2.08,MOP
Loamy,6.24,38.43,0.58,0.74,70,26,62,27.96,44.33,1262.43,Tomato,Sowing,Rabi,Canal,Wheat,South,239.75,5.21,DAP
Loamy,6.45,29.26,0.66,2.99,74,22,107,38.42,40.33,2653.29,Cotton,Sowing,Zaid,Rainfed,Sugarcane,Central,115.76,5.88,DAP
Sandy,8.21,15.64,0.88,2.34,57,52,100,28.05,57.22,2255.9,Wheat,Flowering,Rabi,Sprinkler,Rice,Central,87.46,3.32,Urea
Silt,6.58,57.34,0.89,0.82,75,82,115,39.25,82.18,545.75,Maize,Sowing,Kharif,Drip,Wheat,East,196.72,7.96,Zinc Sulphate
Sandy,6.45,36.51,1.09,0.3,111,74,13,31.71,75.49,909.21,Cotton,Harvest,Rabi,Rainfed,Wheat,South,156.23,1.61,MOP
Silt,6.81,24.15,0.49,2.12,91,32,58,29.58,30.28,2041.22,Maize,Flowering,Rabi,Rainfed,Sugarcane,South,164.72,5.21,DAP
Clay,7.26,27.51,1.06,0.98,96,49,78,34.89,73.87,889.18,Potato,Sowing,Kharif,Canal,Potato,West,92.49,6.05,DAP
Clay,4.93,23.53,1.21,0.74,65,43,51,10.33,34.36,1695.31,Potato,Vegetative,Zaid,Drip,Rice,South,141.01,2.01,Compost
Sandy,7.78,40.09,1.08,2.23,56,45,84,17.72,62.88,883.91,Cotton,Vegetative,Rabi,Canal,Maize,North,293.74,7.3,Urea
Sandy,6.24,56.5,0.83,2.07,22,59,74,16.48,76.8,2111.07,Cotton,Flowering,Zaid,Canal,Tomato,West,69.73,4.94,Urea
Sandy,4.79,52.83,1.49,1.5,97,87,86,13.33,57.2,410.04,Wheat,Flowering,Rabi,Sprinkler,Wheat,North,295.98,7.75,Compost
Loamy,7.64,33.02,0.73,2.83,96,39,93,38.13,52.6,2219.43,Sugarcane,Sowing,Kharif,Drip,Wheat,North,201.78,4.24,DAP
Loamy,6.01,51.32,0.34,2.07,69,49,43,13.93,86.37,1143.62,Maize,Flowering,Zaid,Sprinkler,Potato,North,153.16,7.61,MOP
Loamy,4.9,31.16,1.27,2.69,126,21,106,17.89,31.76,1469.86,Cotton,Harvest,Rabi,Drip,Wheat,East,50.49,4.98,DAP
Sandy,7.04,22.62,0.48,0.65,50,10,23,20.05,36.36,1554.01,Cotton,Flowering,Rabi,Sprinkler,Maize,South,159.31,2.54,Urea
Silt,8.02,59.17,1.13,0.96,26,25,62,28.74,82.22,744.26,Tomato,Sowing,Zaid,Sprinkler,Maize,West,162.14,4.09,Urea
Clay,8.05,25.19,0.43,0.4,76,59,85,33.02,83.17,2838.05,Maize,Harvest,Zaid,Drip,Rice,Central,108.97,4.13,Zinc Sulphate
Sandy,8.33,26.19,0.22,0.98,55,52,84,28.14,52.36,200.46,Maize,Sowing,Kharif,Canal,Rice,East,264.38,7.19,Urea
Loamy,7.97,59.48,0.41,2.92,105,69,10,32.47,62.41,1243.69,Rice,Vegetative,Kharif,Drip,Cotton,West,143.88,4.67,MOP
Loamy,4.51,16.7,0.69,2.89,43,14,119,22.06,39.86,559.88,Maize,Harvest,Zaid,Drip,Cotton,North,77.78,6.7,Urea
Sandy,6.02,48.03,0.34,2.31,43,30,17,39.87,83.06,1207.79,Sugarcane,Vegetative,Kharif,Drip,Maize,East,260.7,6.74,Urea
Sandy,7.77,56.79,0.46,1.61,75,74,27,15.1,58.14,491.05,Tomato,Harvest,Rabi,Canal,Potato,West,214.11,4.55,MOP
Loamy,5.97,35.59,1.19,2.36,96,30,14,21.99,63.85,1260.38,Sugarcane,Vegetative,Kharif,Drip,Wheat,South,62.94,1.7,DAP
Silt,6.91,10.13,1.2,1.71,143,80,104,34.97,37.08,742.86,Tomato,Harvest,Zaid,Canal,Maize,South,68.32,6.64,Zinc Sulphate
Loamy,6.93,28.75,1.26,0.11,47,74,76,17.4,66.89,1750.6,Sugarcane,Sowing,Rabi,Drip,Cotton,East,293.7,7.58,Urea
Loamy,5.96,15.58,1.29,1.55,96,32,31,32.53,71.75,233.48,Tomato,Harvest,Kharif,Sprinkler,Tomato,South,266.9,7.83,DAP
Sandy,8.12,30.81,0.75,1.84,97,69,15,20.93,47.68,1617.07,Rice,Flowering,Rabi,Drip,Potato,South,270.51,2.83,MOP
Silt,6.51,49.5,1.33,0.87,115,11,97,15.33,83.77,991.74,Rice,Vegetative,Kharif,Drip,Cotton,North,74.2,2.0,DAP
Loamy,6.36,31.94,0.88,0.69,64,43,36,22.1,42.23,1100.08,Potato,Vegetative,Kharif,Drip,Sugarcane,East,80.79,2.02,MOP
Loamy,8.49,31.6,0.81,0.89,88,66,94,33.54,83.84,1193.11,Tomato,Harvest,Zaid,Canal,Cotton,Central,296.8,5.78,Zinc Sulphate
Clay,6.47,37.84,1.13,1.91,118,25,46,13.36,72.2,2027.62,Potato,Harvest,Rabi,Sprinkler,Rice,East,297.88,7.6,DAP
Sandy,5.21,39.08,0.48,0.52,139,83,107,25.48,79.85,2321.76,Rice,Flowering,Kharif,Canal,Sugarcane,North,166.85,1.58,Compost
Clay,6.55,52.81,1.23,2.19,87,57,44,32.24,71.95,1123.17,Cotton,Sowing,Rabi,Rainfed,Potato,East,232.71,4.24,SSP
Clay,7.76,25.42,0.76,1.33,97,34,45,32.55,55.71,2789.98,Potato,Sowing,Zaid,Sprinkler,Sugarcane,West,234.1,6.01,DAP
Loamy,7.61,51.08,0.37,1.12,94,77,70,21.69,49.89,2289.46,Wheat,Harvest,Zaid,Drip,Wheat,East,297.51,6.66,Urea
Sandy,7.65,38.3,0.36,2.44,102,41,99,23.99,74.04,1330.74,Rice,Vegetative,Rabi,Drip,Cotton,East,244.96,4.2,NPK
Silt,7.33,25.03,0.41,1.57,21,54,10,35.7,47.89,473.85,Potato,Harvest,Zaid,Rainfed,Cotton,North,130.13,1.03,Urea
Loamy,5.52,24.76,1.36,1.2,150,49,57,16.25,33.71,1768.95,Wheat,Sowing,Rabi,Drip,Sugarcane,East,214.49,1.92,Urea
Silt,7.95,28.06,1.49,2.65,106,22,92,39.78,44.82,1918.54,Wheat,Vegetative,Zaid,Sprinkler,Maize,West,170.93,1.56,DAP
Silt,8.07,41.13,0.66,1.17,67,14,99,22.58,75.31,581.66,Wheat,Vegetative,Kharif,Sprinkler,Tomato,East,160.56,4.73,DAP
Sandy,5.28,21.54,0.58,2.59,84,26,96,18.26,77.59,2585.67,Sugarcane,Flowering,Kharif,Canal,Rice,South,168.74,6.02,DAP
Clay,5.02,56.02,0.48,1.56,61,80,113,10.08,46.6,1268.0,Rice,Harvest,Rabi,Drip,Tomato,West,275.14,6.21,Compost
Sandy,8.4,38.75,1.27,0.7,153,19,107,13.75,49.68,626.64,Potato,Vegetative,Kharif,Sprinkler,Tomato,East,135.01,3.3,DAP
Silt,7.97,56.0,0.47,1.88,78,68,100,32.7,62.96,1658.46,Maize,Flowering,Rabi,Rainfed,Cotton,Central,215.24,2.57,Zinc Sulphate
Loamy,8.07,12.32,1.4,0.93,100,44,76,29.48,45.72,1381.71,Maize,Sowing,Zaid,Sprinkler,Maize,East,293.15,4.41,Zinc Sulphate
Silt,8.05,27.13,1.07,0.53,38,32,119,17.4,66.37,1998.04,Potato,Harvest,Rabi,Rainfed,Cotton,South,132.85,4.48,Urea
Loamy,6.67,11.14,1.37,0.35,127,65,112,37.81,46.92,683.2,Sugarcane,Vegetative,Rabi,Drip,Maize,South,224.4,7.1,NPK
Loamy,7.09,23.61,0.92,0.8,80,25,86,35.07,37.25,258.14,Cotton,Flowering,Zaid,Drip,Rice,South,84.71,7.01,DAP
